LocalDate,LocalTime,{REPORTE_CIP_TQ\CONDUCTIVIDAD},{REPORTE_CIP_TQ\TEMP_RET},{REPORTE_CIP_TQ\TEMP_SAL},{REPORTE_CIP_TQ\EQUIPO},{REPORTE_CIP_TQ\TIPO_CIP},{REPORTE_CIP_TQ\SECUENCIA},{REPORTE_CIP_TQ\USUARIO2},idlavados
2020-06-17,14:57:12,0.616083,46.09922,44.56225,TA.02.02,Ninguno,3,AIMSA,1
2020-06-17,14:57:22,0.6225681,46.14785,44.56225,TA.02.02,Completo Caliente,45,AIMSA,1
2020-06-17,14:57:32,0.3728923,46.14785,45.86089,TA.02.02,Completo Caliente,45,AIMSA,1
2020-06-17,14:57:42,0.03955901,46.14785,53.4533,TA.02.02,Completo Caliente,45,AIMSA,1
2020-06-17,14:57:52,0.03307393,46.09922,59.50875,TA.02.02,Completo Caliente,45,AIMSA,1
2020-06-17,14:58:02,0.5389105,46.09922,63.25389,TA.02.02,Completo Caliente,45,AIMSA,1
2020-06-17,14:58:12,0.5136186,43.89105,66.2354,TA.02.02,Completo Caliente,45,AIMSA,1
2020-06-17,14:58:32,0.7055772,39.80058,70.41828,TA.02.02,Completo Caliente,45,AIMSA,1
2020-06-17,14:58:42,0.5966278,41.33755,61.09436,TA.02.02,Completo Caliente,45,AIMSA,1
2020-06-17,14:58:52,0.5265889,42.34922,52.87451,TA.02.02,Completo Caliente,45,AIMSA,1
2020-06-17,14:59:02,0.5136186,41.72179,58.74027,TA.02.02,Completo Caliente,45,AIMSA,1
2020-06-17,14:59:12,0.5330739,40.2821,64.26556,TA.02.02,Completo Caliente,45,AIMSA,1
2020-06-17,14:59:22,0.5713359,39.41634,68.68677,TA.02.02,Completo Caliente,45,AIMSA,1
2020-06-17,14:59:32,0.6031128,39.08074,70.65661,TA.02.02,Completo Caliente,45,AIMSA,1
2020-06-17,14:59:42,0.6413748,39.22665,72.38812,TA.02.02,Completo Caliente,45,AIMSA,1
2020-06-17,14:59:53,0.6478599,40.23346,62.96692,TA.02.02,Completo Caliente,45,AIMSA,1
2020-06-17,15:00:03,0.654345,41.09922,52.58755,TA.02.02,Completo Caliente,45,AIMSA,1
2020-06-17,15:00:13,0.6673152,42.4465,56.81906,TA.02.02,Completo Caliente,45,AIMSA,1
2020-06-17,15:00:23,0.6738002,43.98832,63.44844,TA.02.02,Completo Caliente,45,AIMSA,1
2020-06-17,15:00:33,0.6738002,45.66634,65.70525,TA.02.02,Completo Caliente,45,AIMSA,1
2020-06-17,15:00:43,0.6867704,47.15467,63.7354,TA.02.02,Completo Caliente,45,AIMSA,1
2020-06-17,15:00:53,0.6990921,48.40467,55.23346,TA.02.02,Completo Caliente,45,AIMSA,1
2020-06-17,15:01:03,0.6867704,49.32393,56.24513,TA.02.02,Completo Caliente,45,AIMSA,1
2020-06-17,15:01:13,0.7055772,50.42801,62.05739,TA.02.02,Completo Caliente,45,AIMSA,1
2020-06-17,15:01:23,0.6990921,51.62938,67.58268,TA.02.02,Completo Caliente,45,AIMSA,1
2020-06-17,15:01:33,0.6990921,52.97179,67.1498,TA.02.02,Completo Caliente,45,AIMSA,1
2020-06-17,15:01:43,0.7055772,53.88618,60.08754,TA.02.02,Completo Caliente,45,AIMSA,1
2020-06-17,15:01:53,0.7380026,55.76361,53.64299,TA.02.02,Completo Caliente,45,AIMSA,1
2020-06-17,15:02:03,0.7444877,57.30058,54.50875,TA.02.02,Completo Caliente,45,AIMSA,1
2020-06-17,15:02:13,0.7315175,58.25875,61.67315,TA.02.02,Completo Caliente,45,AIMSA,1
2020-06-17,15:02:23,0.7120622,58.83755,66.95525,TA.02.02,Completo Caliente,46,AIMSA,1
2020-06-17,15:02:33,0.6990921,59.02723,63.01556,TA.02.02,Completo Caliente,46,AIMSA,1
2020-06-17,15:02:43,0.6608301,59.07587,60.52042,TA.02.02,Completo Caliente,46,AIMSA,1
2020-06-17,15:02:53,0.9883268,59.02723,60.90466,TA.02.02,Completo Caliente,46,AIMSA,1
2020-06-17,15:03:03,1.584306,58.88618,62.00875,TA.02.02,Completo Caliente,44,AIMSA,1
2020-06-17,15:03:13,1.6738,58.74027,62.72859,TA.02.02,Completo Caliente,44,AIMSA,1
2020-06-17,15:03:23,1.725032,58.64299,63.3998,TA.02.02,Completo Caliente,44,AIMSA,1
2020-06-17,15:03:33,0.7574579,58.55058,63.78404,TA.02.02,Completo Caliente,44,AIMSA,1
2020-06-17,15:03:43,0.7898833,58.16634,64.07101,TA.02.02,Completo Caliente,44,AIMSA,1
2020-06-17,15:03:53,0.7574579,57.63618,64.21692,TA.02.02,Completo Caliente,44,AIMSA,1
2020-06-17,15:04:03,0.770428,57.34922,64.3142,TA.02.02,Completo Caliente,44,AIMSA,1
2020-06-17,15:04:13,0.770428,57.15466,64.36284,TA.02.02,Completo Caliente,44,AIMSA,1
2020-06-17,15:04:23,0.7444877,57.10603,64.40661,TA.02.02,Completo Caliente,47,AIMSA,1
2020-06-17,15:04:33,0.8022049,57.01361,64.79085,TA.02.02,Completo Caliente,47,AIMSA,1
2020-06-17,15:04:43,2.78275,56.8677,64.60117,TA.02.02,Completo Caliente,47,AIMSA,1
2020-06-17,15:04:53,0.8216602,56.91634,64.88813,TA.02.02,Completo Caliente,48,AIMSA,1
2020-06-17,15:05:03,0.8346304,57.06225,71.13812,TA.02.02,Completo Caliente,48,AIMSA,1
2020-06-17,15:05:13,0.8281453,57.06225,83.44358,TA.02.02,Completo Caliente,48,AIMSA,1
2020-06-17,15:05:23,0.8346304,57.2033,92.4319,TA.02.02,Completo Caliente,48,AIMSA,1
2020-06-17,15:05:33,0.8022049,57.30058,91.07976,TA.02.02,Completo Caliente,48,AIMSA,1
2020-06-17,15:05:43,0.8281453,57.25194,85.26751,TA.02.02,Completo Caliente,48,AIMSA,1
2020-06-17,15:05:53,0.9370947,57.2033,78.77918,TA.02.02,Completo Caliente,48,AIMSA,1
2020-06-17,15:06:03,1.487678,57.7821,75.8998,TA.02.02,Completo Caliente,48,AIMSA,1
2020-06-17,15:06:13,4.282101,58.64299,84.5963,TA.02.02,Completo Caliente,48,AIMSA,1
2020-06-17,15:06:23,5.454605,59.31906,89.10992,TA.02.02,Completo Caliente,48,AIMSA,1
2020-06-17,15:06:33,4.993515,59.50875,89.35311,TA.02.02,Completo Caliente,48,AIMSA,1
2020-06-17,15:06:43,0.270428,59.41148,88.67704,TA.02.02,Completo Caliente,48,AIMSA,1
2020-06-17,15:06:53,5.813878,59.27042,83.82781,TA.02.02,Completo Caliente,48,AIMSA,1
2020-06-17,15:07:03,5.800908,59.31906,78.63326,TA.02.02,Completo Caliente,48,AIMSA,1
2020-06-17,15:07:13,1.661479,59.27042,76.47373,TA.02.02,Completo Caliente,48,AIMSA,1
2020-06-17,15:07:23,4.301557,59.02723,86.7072,TA.02.02,Completo Caliente,48,AIMSA,1
2020-06-17,15:07:33,6.005836,59.60603,88.15174,TA.02.02,Completo Caliente,48,AIMSA,1
2020-06-17,15:07:43,6.17834,59.65466,83.3463,TA.02.02,Completo Caliente,48,AIMSA,1
2020-06-17,15:07:53,6.223735,59.50875,78.24902,TA.02.02,Completo Caliente,48,AIMSA,1
2020-06-17,15:08:03,6.274968,59.31906,74.6498,TA.02.02,Completo Caliente,48,AIMSA,1
